Taste,Aluminum,Fluoride,Fizziness
95.615,97.418,101.104,97.531
101.399,92.753,94.069,94.150
86.003,105.304,95.845,111.437
95.322,116.389,100.988,94.064
97.770,96.206,101.630,106.391
91.202,104.400,100.736,95.627
94.654,101.553,98.384,102.003
96.331,102.105,99.456,104.019
100.953,98.708,96.422,103.928
92.313,92.295,98.717,98.176
92.308,102.265,94.890,102.619
94.354,100.824,108.732,95.009
101.011,104.708,101.141,94.550
94.588,93.315,93.525,96.572
96.011,101.889,98.338,90.351
97.019,94.763,101.524,92.165
89.553,101.146,93.797,98.437
97.425,102.447,98.563,100.149
91.339,99.819,107.545,104.129
99.304,89.909,90.781,101.111
96.369,96.390,100.412,104.314
87.573,102.699,105.013,106.852
97.587,103.687,96.837,95.512
103.541,97.237,110.539,100.900
97.713,99.951,102.819,98.064
89.337,97.329,96.458,114.631
89.421,97.735,98.852,108.127
95.484,94.973,96.661,95.944
95.710,98.223,105.237,92.687
91.750,95.076,102.398,98.416
96.788,100.982,100.822,95.291
91.959,97.778,102.914,94.517
93.918,100.201,87.017,103.391
97.184,105.546,104.038,104.456
92.044,102.842,101.219,97.595
95.303,100.389,103.781,95.686
99.062,101.628,89.395,97.856
108.660,99.177,103.635,109.203
96.181,102.064,105.468,101.830
95.578,97.896,98.067,95.680
96.778,97.034,99.234,96.979
89.169,107.158,101.906,97.072
94.774,97.624,103.273,94.610
101.983,98.577,97.217,91.542
96.228,110.361,105.673,95.550
100.513,97.640,91.648,89.166
96.050,95.039,95.107,101.598
99.573,103.081,97.159,103.853
88.658,109.168,107.620,102.953
102.981,102.930,104.443,98.798
99.311,104.378,101.629,103.028
88.384,99.287,102.228,104.345
99.363,86.232,102.724,93.299
81.253,100.566,97.927,96.183
93.319,103.351,102.352,106.575
99.746,103.758,99.948,100.059
90.954,99.980,95.897,108.941
106.859,108.430,97.057,93.870
100.083,97.040,101.590,99.925
101.476,96.135,104.559,95.961
88.211,103.899,98.390,97.563
89.044,106.938,105.496,94.636
97.345,94.203,96.159,101.363
92.712,94.560,103.180,100.463
100.658,104.461,98.283,104.286
90.951,96.572,103.090,96.927
90.773,101.897,101.340,103.978
97.816,101.695,96.195,96.020
100.448,98.604,104.752,95.045
95.942,87.758,98.864,102.390
105.250,104.044,102.059,97.952
100.048,106.344,78.946,104.449
87.618,99.889,101.760,97.484
95.652,94.078,99.068,102.074
99.650,98.762,96.940,98.345
97.301,101.081,98.274,88.086
92.834,100.658,107.276,99.083
88.303,100.066,109.110,105.981
94.365,96.640,107.285,100.301
92.375,99.419,98.043,96.302
95.562,105.754,92.042,93.055
93.544,99.804,95.742,95.473
95.186,99.058,98.899,104.266
91.190,104.346,107.075,97.821
102.175,101.306,90.742,97.021
96.075,98.020,101.814,101.092
93.990,98.173,98.118,99.502
95.656,98.720,98.023,102.641
101.537,102.242,98.779,103.950
94.722,96.011,100.745,96.808
94.610,96.929,96.152,96.713
93.773,95.649,111.959,93.140
92.453,94.177,99.025,95.480
100.328,96.965,108.085,97.975
88.057,99.355,97.941,100.343
92.719,102.831,99.150,107.140
92.911,97.997,96.875,96.794
97.980,107.064,104.557,94.554
93.918,105.581,107.128,99.041
102.460,98.539,96.110,100.337
99.131,100.911,96.587,104.584
91.941,100.617,93.545,98.311
95.848,102.021,99.775,105.791
98.531,96.980,99.860,98.524
95.942,94.264,105.367,111.274
92.849,101.792,91.031,95.233
98.703,105.952,103.462,101.296
100.199,96.664,99.711,97.141
100.642,107.039,109.282,104.069
98.414,98.025,102.371,98.815
99.279,95.896,95.392,98.496
100.195,88.304,99.767,107.445
98.325,106.196,100.109,105.650
92.596,103.475,106.892,95.842
89.745,94.382,95.987,98.384
95.954,99.228,94.628,103.227
85.879,97.733,96.630,106.407
97.754,98.343,95.125,96.771
92.922,95.880,102.025,90.941
89.999,103.731,112.668,101.607
98.676,87.245,93.294,105.323
103.643,95.226,99.835,94.041
92.813,94.052,104.753,103.722
97.500,101.099,99.823,103.421
93.408,98.625,97.257,106.228
96.020,102.587,97.108,91.734
101.155,105.247,99.107,99.549
97.457,102.469,107.787,93.007
92.193,100.333,104.604,96.684
88.154,101.577,109.597,101.979
87.783,106.095,112.378,101.737
98.027,105.145,99.409,104.388
92.910,95.956,87.137,98.139
100.552,101.432,97.004,98.884
95.154,99.959,88.046,102.194
97.359,95.020,91.390,101.625
89.215,94.263,108.042,106.757
94.530,96.843,96.284,100.987
93.049,99.401,108.311,101.150
97.700,100.828,97.482,102.093
98.089,102.995,104.758,97.518
94.477,100.322,100.835,106.615
92.882,101.476,91.384,97.140
98.375,101.076,98.178,96.989
95.565,106.520,95.276,103.519
95.844,97.422,98.098,98.680
97.844,107.366,87.950,95.956
97.656,94.073,101.711,106.240
97.604,97.715,106.173,95.629
91.508,102.273,97.477,105.606
100.060,108.557,96.121,91.599
94.127,103.639,97.277,92.963
109.968,98.967,100.569,95.264
99.589,99.809,104.137,94.485
93.313,102.434,101.083,103.172
96.988,92.274,103.666,107.208
95.554,115.759,104.014,101.638
96.557,95.978,98.814,98.649
95.565,100.591,99.349,106.459
92.898,95.554,104.308,99.035
98.569,94.365,107.767,101.007
98.129,111.488,107.279,107.813
95.401,100.584,104.026,96.987
102.479,108.417,107.315,101.879
93.831,96.414,98.017,98.522
101.551,104.900,104.308,103.841
93.900,102.040,100.957,93.615
95.609,105.442,102.087,102.217
96.423,95.070,101.984,100.516
91.819,104.527,93.164,102.373
97.560,97.107,106.011,105.559
87.536,97.475,105.444,97.942
87.406,100.838,110.013,96.378
93.256,96.504,98.355,93.952
95.976,104.995,96.028,102.926
92.890,104.366,98.223,100.442
93.259,105.003,102.138,102.388
94.025,100.878,100.615,96.896
96.782,102.086,100.703,94.898
100.414,97.934,103.193,99.719
97.803,102.709,98.263,98.339
96.105,99.495,106.093,99.220
109.087,102.127,99.648,87.894
93.985,105.024,94.207,101.481
92.822,109.861,93.481,104.526
101.467,100.434,95.981,105.401
96.808,91.442,106.906,93.809
97.906,104.710,108.670,100.482
89.254,101.888,97.635,92.801
92.628,93.557,100.867,94.791
88.515,103.675,107.001,98.523
88.630,104.609,111.068,104.553
93.030,98.728,100.938,106.062
97.626,103.125,97.099,99.976
94.960,103.370,111.837,101.249
89.515,106.585,87.583,105.008
100.318,97.188,105.494,106.806
99.687,94.381,101.402,101.233
100.308,101.550,99.729,103.670
93.948,98.620,101.721,99.036
93.049,95.133,107.859,94.953
99.834,96.058,100.269,98.031
106.834,97.871,93.971,102.113
95.270,98.086,95.192,95.258
90.470,100.988,96.606,99.932
95.474,102.147,95.430,100.198
95.370,97.861,100.021,108.894
87.842,99.295,97.399,97.001
94.473,107.103,95.825,105.918
99.610,108.503,108.872,102.597
97.345,98.069,107.927,96.371
99.517,102.507,95.622,109.263
97.747,104.053,105.037,97.865
99.238,99.446,97.195,93.303
98.221,100.462,100.603,102.951
100.418,95.050,101.706,87.714
90.235,95.265,95.547,106.502
100.583,103.930,109.595,97.167
91.260,107.636,102.357,103.627
100.386,99.370,103.117,107.351
96.312,108.834,99.654,93.461
84.712,102.952,106.939,98.462
95.566,94.782,102.577,94.686
89.532,97.776,102.749,98.122
95.392,101.267,103.476,108.653
91.260,107.335,99.261,98.845
97.729,101.292,102.946,97.342
81.295,98.528,95.749,103.212
98.124,101.187,97.141,97.749
93.664,88.496,97.788,99.829
88.556,102.766,96.011,95.723
93.853,99.127,98.080,103.330
93.249,100.335,110.287,101.412
96.437,94.342,96.558,98.543
93.886,108.759,101.147,109.801
92.892,90.213,109.075,98.173
92.140,96.325,96.269,98.515
97.303,104.201,95.235,101.836
99.173,108.503,108.422,102.543
91.986,97.938,94.013,94.669
101.995,93.430,102.171,104.449
95.352,95.159,100.729,95.789
90.807,102.837,95.129,101.209
102.328,91.463,104.438,97.652
100.717,100.021,95.479,96.745
91.400,94.306,109.105,104.656
87.563,103.539,90.214,100.027
95.538,112.179,102.984,104.731
93.878,103.456,113.078,103.246
92.600,94.801,96.478,99.395
95.367,93.887,95.587,113.361
103.286,93.706,96.215,99.407
98.288,102.274,104.042,95.854
98.265,100.152,101.436,95.621
94.773,93.223,95.669,90.323
95.475,105.603,102.076,97.398
95.765,105.925,103.835,96.929
101.001,102.219,102.472,104.920
93.755,109.866,105.229,102.209
95.380,100.882,99.051,101.870
89.331,103.544,93.117,95.119
86.618,98.570,99.803,97.860
96.406,104.249,90.246,101.774
95.721,113.858,93.708,100.737
95.611,96.163,97.652,108.056
92.949,105.195,100.409,103.185
102.881,95.851,104.437,98.768
104.127,98.290,88.081,91.042
88.134,105.588,99.476,103.352
96.891,91.999,98.313,90.490
97.576,108.181,106.236,109.508
94.504,97.325,95.871,96.213
103.338,95.429,100.393,97.927
94.053,98.938,98.087,102.837
88.085,102.005,110.576,98.689
93.216,103.516,94.017,95.471
91.300,107.056,97.613,87.524
95.761,98.215,99.626,90.028
96.162,98.951,95.877,93.463
97.976,100.771,101.831,92.511
101.118,103.197,98.465,105.248
98.632,92.746,106.431,105.202
92.027,99.672,97.974,100.220
92.875,99.029,106.712,104.183
99.589,100.584,100.196,103.106
102.915,99.907,109.247,102.231
100.528,111.636,111.581,95.338
88.680,108.206,105.545,99.616
86.892,109.574,106.843,101.511
89.289,100.059,101.286,98.748
98.805,94.904,105.813,88.909
92.325,106.687,106.181,99.034
89.484,100.195,96.824,102.549
102.352,96.024,101.950,98.509
99.310,100.079,101.780,98.208
98.111,98.523,101.168,97.601
95.309,98.650,104.543,99.611
91.115,101.740,102.475,96.013
97.772,108.705,95.418,103.860
96.576,95.744,106.642,101.768
98.377,103.352,95.119,108.202
92.033,97.879,93.828,99.668
92.057,97.657,105.174,105.669
95.649,101.964,98.947,103.666
92.049,98.400,92.417,102.540
84.865,90.745,97.903,102.964
100.859,97.599,103.629,98.465
95.916,96.504,92.578,103.190
91.771,97.416,95.245,100.634
96.200,95.816,96.789,106.564
91.790,99.195,101.067,105.041
97.741,95.570,96.720,100.597
92.583,89.767,95.106,103.401
100.331,97.474,97.843,98.530
102.777,101.364,103.424,94.360
96.955,95.236,101.298,101.801
98.319,97.740,95.964,95.145
96.358,100.105,100.656,96.485
102.229,89.275,102.215,93.428
102.470,95.433,102.399,93.240
89.999,101.644,96.771,105.096
98.983,103.297,106.228,103.276
82.360,107.672,99.175,96.593
96.016,94.359,95.644,102.796
94.955,93.667,100.705,105.370
88.806,112.134,100.412,96.598
101.209,104.249,99.192,104.618
95.762,101.808,84.960,98.089
96.071,96.411,99.007,103.658
96.643,97.739,94.017,104.178
87.187,108.353,95.060,109.732
96.887,95.147,110.957,103.669
90.933,105.561,107.627,101.378
94.651,99.807,103.596,94.629
95.384,102.972,99.351,95.827
99.592,99.599,92.719,99.090
84.295,101.975,94.964,99.932
94.819,99.227,100.488,98.087
104.193,103.639,105.518,94.364
96.751,104.164,98.706,102.532
94.661,90.130,93.690,98.450
94.020,87.448,97.280,94.282
96.990,100.700,99.995,106.051
90.869,103.526,98.268,90.081
90.644,93.122,88.444,95.385
88.975,101.470,105.389,105.427
90.134,96.588,94.948,103.425
92.080,94.798,96.697,99.831
93.506,98.292,111.373,96.716
96.879,99.623,96.588,101.991
100.897,89.555,102.682,96.179
87.979,100.221,99.496,103.625
89.775,116.926,107.977,99.405
95.981,103.314,102.506,98.070
101.559,98.699,92.628,98.912
95.944,92.134,105.856,98.336
99.554,100.836,93.080,97.034
95.051,104.506,105.455,100.058
95.985,94.310,99.389,95.287
93.344,100.287,103.737,103.264
99.445,105.099,114.731,99.393
99.360,97.116,107.002,95.841
93.544,93.414,102.043,97.762
98.162,105.854,101.666,98.313
92.820,93.663,92.746,99.949
106.478,97.274,93.578,107.994
99.662,93.067,106.265,100.195
90.434,106.153,103.068,95.498
94.887,93.682,108.852,92.618
93.064,94.117,97.941,94.695
93.818,102.910,98.522,97.260
92.492,95.489,103.302,101.249
95.969,104.537,92.940,102.869
99.420,99.428,103.484,105.615
94.963,103.901,101.267,106.792
100.330,102.322,90.882,98.639
91.942,91.121,99.459,97.239
82.556,103.387,97.735,102.811
86.625,100.561,97.836,108.010
96.773,98.622,99.584,90.648
96.627,108.590,103.252,103.159
86.743,96.128,100.641,99.182
94.092,109.929,93.759,99.498
91.229,99.223,99.667,88.057
90.814,104.785,102.606,99.563
96.714,106.459,111.381,105.047
96.373,88.767,96.572,98.449
102.138,92.964,100.837,98.196
94.167,99.779,98.234,102.672
90.218,94.351,106.515,97.233
101.343,93.654,105.681,103.069
86.992,92.464,99.821,109.702
89.059,92.256,106.291,96.011
100.467,108.573,99.427,106.625
93.836,97.534,106.225,98.527
97.663,105.082,103.569,103.104
95.772,103.435,99.773,105.005
94.664,95.356,100.831,101.206
94.066,93.334,100.473,92.189
99.854,112.153,102.564,108.883
90.832,100.921,95.758,99.657
89.528,95.508,103.635,97.435
94.354,102.555,106.284,103.827
99.071,111.672,113.061,102.315
96.172,99.157,103.364,108.305
87.578,94.464,99.442,96.839
91.672,97.207,91.766,111.451
100.148,99.441,99.067,100.672
99.304,103.159,103.825,101.286
96.668,102.648,101.793,95.381
102.988,105.271,105.110,99.684
99.955,111.616,102.623,93.671
90.696,92.849,98.447,95.071
88.743,96.786,105.283,107.475
98.445,100.672,98.522,88.246
93.389,104.381,106.452,104.691
88.471,97.289,100.282,96.562
91.931,94.334,108.638,103.941
108.525,99.816,104.811,105.138
89.568,98.178,114.719,93.195
87.185,99.769,109.336,110.924
92.668,95.352,91.284,99.673
90.379,102.601,93.521,96.661
98.116,98.898,98.751,102.712
95.077,92.890,102.725,94.589
97.989,92.791,103.502,101.231
88.026,103.083,94.298,100.626
96.889,98.359,110.124,97.698
100.468,98.405,83.975,103.632
98.798,107.427,96.569,99.009
92.383,102.179,103.164,109.037
103.789,95.107,99.145,112.714
87.560,99.711,108.412,97.758
90.195,92.552,98.041,94.765
89.554,106.039,104.516,102.736
91.430,94.328,101.047,106.646
91.169,101.786,96.972,103.403
102.812,92.214,106.590,100.460
95.953,97.918,103.696,99.732
94.068,102.441,100.333,101.969
96.325,97.517,97.551,106.248
97.308,105.355,89.877,105.232
91.218,107.008,105.168,106.084
97.070,97.401,104.603,101.264
95.639,92.367,99.887,97.214
96.296,106.578,95.071,104.033
90.149,103.173,104.068,96.255
95.575,95.209,100.924,109.569
94.739,91.253,104.224,96.510
101.442,95.152,98.891,96.284
101.742,94.122,106.397,98.368
94.073,106.376,101.906,94.288
100.303,104.251,104.424,102.107
95.783,95.739,102.773,102.740
97.351,106.251,99.798,101.855
100.388,96.561,99.901,105.437
95.796,107.694,99.477,103.273
94.788,94.987,101.137,98.394
95.241,93.874,96.773,94.922
98.136,97.369,108.351,88.916
105.328,95.227,96.264,104.252
93.105,98.060,91.161,97.812
83.123,108.034,101.362,95.455
101.223,93.401,99.520,102.032
90.432,102.752,97.165,91.692
96.595,97.515,99.961,106.122
93.742,98.234,107.099,104.528
96.127,99.876,95.195,100.317
84.454,97.870,101.390,99.339
95.280,93.884,107.508,104.884
94.795,106.520,97.169,95.658
93.758,92.274,115.266,98.864
107.534,97.238,102.671,115.954
95.174,104.518,100.573,100.181
94.506,101.915,105.366,103.457
91.251,100.892,93.408,91.862
99.132,104.547,109.776,94.323
98.117,107.950,94.090,102.156
92.934,98.789,101.553,94.810
95.592,96.351,97.615,93.741
94.547,101.972,106.505,100.565
105.074,97.689,99.515,104.743
98.520,94.819,95.960,97.486
101.180,103.063,105.741,94.715
83.161,94.145,99.989,86.030
99.601,97.655,100.602,102.749
97.987,83.676,102.791,97.473
81.449,100.751,92.076,104.502
106.314,99.754,103.827,96.310
92.390,102.549,103.900,96.231
97.151,100.775,94.237,101.847
89.963,103.942,102.965,103.864
96.471,98.769,83.769,102.453
97.313,97.692,105.181,102.801
87.964,95.870,97.800,92.933
92.125,103.626,92.581,94.751
95.507,102.586,101.978,103.519
87.592,105.195,99.211,99.297
93.224,95.886,102.004,90.552
96.876,104.783,104.739,102.831
89.821,106.467,106.222,95.169
85.083,101.866,89.821,91.415
97.700,95.711,100.262,111.974
99.774,99.057,103.860,103.447
94.127,105.696,100.800,102.384
93.434,96.055,103.567,102.550
89.379,103.687,92.773,97.332
96.673,101.230,99.130,104.985
95.708,97.146,107.282,104.664
96.245,101.412,103.003,89.599
88.488,103.518,102.079,93.123
84.478,109.168,95.022,99.163
99.073,96.689,94.792,96.795
97.352,99.723,92.225,89.776
98.581,107.541,101.280,109.062
95.093,96.249,99.777,109.037
110.023,93.177,102.702,99.650
93.438,104.748,91.666,99.258
94.770,95.201,103.650,114.579
92.118,104.118,106.294,96.900
91.247,99.606,91.982,101.046
96.669,105.591,102.602,94.945
99.824,102.578,101.089,102.926
92.209,91.555,97.541,94.099
91.130,100.446,99.742,98.970
100.865,98.537,105.986,103.949
94.934,105.353,97.121,100.315
86.485,92.860,98.916,101.091
98.134,102.397,96.184,98.830
91.643,101.485,100.379,100.593
98.831,102.651,100.293,98.620
99.345,106.107,106.152,105.451
93.525,106.469,103.181,100.069
95.708,97.342,92.365,101.391
100.311,104.854,96.718,98.103
92.353,102.284,99.270,94.475
89.242,102.571,100.408,95.402
86.204,107.457,105.066,104.206
82.861,106.633,102.010,98.975
101.113,102.769,93.618,98.394
92.900,98.429,95.208,92.929
98.154,106.294,102.507,93.403
96.058,103.817,96.687,99.019
98.196,98.777,101.278,94.709
101.499,101.450,98.866,95.578
90.722,101.012,104.367,103.432
96.245,103.905,104.614,102.125
91.464,105.370,93.993,106.677
86.248,106.028,91.411,96.592
89.358,104.159,107.514,101.495
94.149,100.774,98.805,100.495
90.779,100.405,99.401,103.603
89.098,101.897,99.660,102.325
98.083,92.424,90.910,105.403
96.136,91.378,100.943,104.841
84.298,103.521,102.402,102.950
87.433,101.810,102.115,91.956
86.771,97.679,97.515,98.906
95.127,95.459,101.022,90.095
93.015,97.519,102.768,114.365
91.793,98.137,99.410,97.132
96.568,97.297,102.849,105.792
97.229,109.218,104.454,99.065
91.371,90.750,95.288,92.876
92.161,97.310,102.188,101.132
90.847,92.169,99.319,94.864
89.841,100.064,103.711,98.713
98.947,98.706,95.457,101.318
86.799,93.546,101.308,95.650
92.283,102.810,110.833,101.087
95.082,94.575,101.260,103.002
96.360,102.754,106.033,104.477
87.414,108.365,103.490,100.979
95.400,101.742,106.291,104.634
98.236,101.253,101.607,101.187
90.433,97.555,91.641,100.587
91.173,93.206,100.640,94.193
97.740,108.647,105.203,99.394
94.991,96.422,95.749,102.178
90.486,91.063,104.708,97.019
88.312,96.415,98.512,108.181
97.953,93.985,96.003,100.718
92.741,101.508,105.372,102.938
92.461,95.562,101.070,99.170
95.430,93.638,107.629,103.338
93.217,101.716,103.175,103.520
96.956,107.268,94.422,108.904
95.924,100.134,102.820,87.622
91.498,108.679,105.353,100.596
87.897,98.849,95.683,103.088
96.958,100.359,103.273,98.671
98.020,107.215,96.893,102.956
89.426,89.340,92.668,104.675
89.839,100.899,105.560,99.483
97.697,105.239,100.268,105.494
85.733,100.754,97.102,103.631
93.687,100.972,99.625,100.083
93.539,105.282,95.317,102.644
91.934,102.374,104.367,96.229
82.994,104.347,98.077,95.295
102.929,104.907,99.987,93.364
97.500,104.315,99.517,91.202
90.374,97.248,101.725,101.766
91.506,108.532,91.465,102.205
92.281,98.105,101.772,94.727
88.062,92.196,107.655,99.279
97.591,91.894,107.924,99.440
93.610,92.659,103.875,100.167
90.540,93.418,102.839,90.798
93.620,96.762,103.030,97.649
99.272,102.883,94.350,98.612
95.105,89.328,99.812,103.428
96.155,104.774,94.519,101.887
106.721,102.052,107.324,100.291
94.257,108.439,92.494,93.990
103.191,100.548,97.306,103.808
91.774,100.300,97.485,104.716
96.522,95.400,97.192,101.870
91.212,107.007,87.607,100.710
102.404,99.599,92.677,97.988
99.928,107.742,108.431,100.208
95.514,96.010,106.309,99.413
99.352,103.748,102.923,101.172
94.734,97.392,106.341,95.923
97.766,97.392,101.561,101.161
88.644,104.578,93.201,101.627
94.828,96.439,107.866,102.311
91.376,100.681,103.597,102.150
98.971,98.119,99.408,98.793
96.797,96.422,97.237,97.100
101.568,111.491,98.654,102.081
96.855,97.125,99.059,103.503
100.244,99.402,104.716,94.506
94.274,96.348,100.800,106.196
94.761,99.676,102.401,103.617
91.367,92.372,92.306,103.486
96.811,95.421,101.677,101.655
103.271,100.864,99.849,95.098
103.575,102.919,102.267,101.400
105.213,99.793,99.417,101.169
93.470,91.112,97.657,104.827
100.424,98.669,101.415,88.603
91.214,99.335,99.562,102.908
97.967,97.117,90.539,99.799
96.930,105.414,101.993,98.556
97.948,105.622,104.831,107.025
100.826,100.188,96.314,96.022
95.814,97.753,103.652,90.238
92.075,101.272,105.294,100.975
94.860,97.309,101.176,106.133
96.643,95.897,99.472,101.690
91.084,103.767,96.810,93.759
101.094,104.692,95.508,98.973
93.257,101.274,105.188,92.557
91.391,106.228,93.338,91.791
95.694,95.951,94.416,101.296
92.660,91.525,101.767,96.656
95.034,106.644,111.489,94.341
98.128,104.478,98.584,102.029
100.325,96.754,102.730,92.371
91.746,93.082,99.801,97.610
93.056,102.282,96.653,96.989
89.280,93.724,97.095,102.946
98.875,108.204,111.739,92.857
100.031,92.958,93.999,95.696
105.608,109.333,96.241,98.735
96.751,100.712,97.145,105.993
89.139,101.286,107.265,100.555
87.993,101.581,99.109,97.587
96.291,94.893,99.496,95.636
90.012,95.484,98.248,102.206
88.103,94.574,99.166,89.854
103.280,102.863,89.320,108.096
97.905,108.128,100.983,101.250
102.409,98.636,100.840,103.778
93.221,103.667,90.804,100.899
88.375,97.609,91.455,95.529
91.837,102.921,90.495,100.530
93.550,93.227,100.378,108.430
90.566,100.918,102.898,101.219
92.238,106.458,103.897,96.804
93.928,103.995,97.523,96.559
100.744,92.852,101.773,103.418
97.059,110.113,101.239,107.112
88.327,97.507,93.150,104.878
93.090,104.344,105.180,105.442
97.309,107.697,106.184,96.913
94.060,97.161,82.909,101.744
97.264,96.396,101.718,98.228
85.755,91.769,95.356,100.644
92.655,101.091,101.703,102.338
99.444,106.541,101.818,96.597
96.050,101.765,103.081,100.056
101.299,92.678,104.477,96.940
95.577,95.906,106.360,98.804
95.099,102.414,99.843,100.649
96.670,104.996,103.034,102.310
94.559,96.985,88.966,96.002
90.529,97.186,96.654,108.739
93.809,95.739,103.067,100.554
92.033,105.050,101.916,94.860
103.627,100.320,98.428,94.400
87.300,95.979,103.707,101.365
96.876,105.172,93.299,95.695
89.591,104.234,94.018,102.267
92.162,97.269,102.477,102.145
92.479,101.376,99.392,100.552
87.435,107.737,98.855,102.350
96.406,106.492,97.077,110.211
101.676,98.280,102.331,103.719
89.114,104.117,94.244,98.155
89.253,102.941,99.561,100.448
94.335,95.425,95.705,102.864
90.329,99.101,97.054,98.206
94.402,100.230,104.820,107.152
91.574,105.395,100.581,105.701
104.235,95.353,90.209,110.466
87.105,95.915,87.394,95.636
96.873,105.665,103.600,94.328
90.444,101.084,105.045,97.463
99.511,96.817,93.055,105.403
96.521,93.591,101.868,98.112
95.192,95.495,103.248,103.305
98.652,107.789,93.669,100.275
90.675,100.787,102.006,90.995
110.690,100.242,102.692,101.282
91.073,104.840,103.713,103.214
99.831,99.835,98.306,98.355
95.689,99.436,98.604,94.895
100.263,92.274,98.802,110.151
91.445,103.439,105.153,100.555
105.383,105.193,96.724,99.074
96.496,104.290,101.478,97.952
104.610,97.596,105.772,106.558
97.667,102.463,93.486,91.547
101.165,93.226,101.435,97.875
93.781,100.678,101.909,97.640
91.689,94.445,102.512,95.923
94.197,105.243,100.849,104.857
101.811,99.396,98.816,94.185
103.675,99.188,106.796,93.319
98.048,97.847,96.973,99.745
95.928,100.602,104.216,97.840
103.194,103.473,93.706,98.121
98.578,97.248,90.917,107.577
93.651,91.518,104.386,98.860
92.111,96.881,98.269,99.513
92.189,105.575,102.692,97.406
88.716,94.964,97.031,91.466
101.697,102.207,102.200,102.650
94.052,112.093,95.575,100.058
93.858,96.284,103.074,99.604
94.425,100.626,99.979,92.628
98.231,105.097,96.604,91.786
97.799,99.493,95.589,101.343
88.394,99.097,96.648,100.816
91.100,107.593,101.234,97.780
89.536,97.585,99.403,103.586
95.384,95.854,96.034,105.404
95.698,91.489,102.230,109.404
98.308,94.317,95.630,99.670
99.867,90.313,98.160,101.863
90.431,99.628,104.927,100.069
86.440,99.030,99.189,101.396
99.017,106.161,100.047,90.436
99.531,106.971,102.422,108.429
92.463,101.189,93.731,100.722
91.469,90.840,101.603,100.051
95.466,100.010,97.441,107.431
92.217,100.782,110.019,93.086
98.815,111.736,99.839,99.298
85.526,99.508,106.083,109.989
95.058,97.820,96.456,103.085
105.391,86.829,97.613,97.412
89.407,98.190,99.609,92.356
96.640,90.166,101.561,98.230
95.354,98.437,97.373,96.138
93.590,95.321,103.049,102.872
86.523,106.854,99.634,97.301
92.684,103.605,99.690,93.110
97.089,91.046,105.311,104.226
91.547,108.465,103.389,94.654
95.747,97.104,93.888,100.014
95.469,104.661,95.771,91.870
93.240,104.342,102.243,103.995
